@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-27,29-35,37-44,46-55,58-59-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_fert_farm_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute logchl_A {low,medium,high}

@data
0.184766,0.354983,0.161482,-1.704039,-1.055057,-0.877114,-1.297934,0.901553,0,low
0.777476,0.522086,0.376103,-0.11278,-1.055057,-0.877114,-1.297934,0.878057,0,medium
0.466197,0.52867,0.398438,-0.882285,0.925,0.682504,0.917191,0.188699,0.448982,medium
0.28258,0.445007,0.290193,-1.844142,-0.739097,-0.678953,-0.420071,0.827595,0.010942,medium
0.170512,0.292431,0.118111,-2.510287,-1.055057,-0.877114,-1.297934,0.938571,0,low
0.896534,0.376562,0.178694,-0.075353,0.224182,0.131383,0.77804,0.76324,0.112087,low
0.567539,0.484435,0.193877,-0.017649,0.335348,0.18147,0.587079,0.883985,0.087,low
0.540542,0.537655,0.452641,-0.166711,1.075885,1.358914,1.079761,0.534133,0.357372,medium
0.716145,0.479895,0.219743,0.845775,-0.490668,-0.619256,0.083293,0.867216,0,low
0.483402,0.564815,0.564847,0.579363,0.614916,0.188434,0.921013,0.350738,0.192055,medium
0.871877,0.457055,0.3447,0.35894,-0.272155,-0.601945,0.419093,0.880678,0.015274,medium
0.418906,0.718135,0.577132,-0.792822,1.211513,1.291701,0.659841,0.507276,0.163541,medium
0.302253,0.479198,0.516548,-0.48149,-0.548765,-0.584513,-0.024718,0.729009,0.01598,medium
0.415352,0.483765,0.161482,-0.971851,0.290254,0.266156,0.213377,0.854166,0.0146,medium
0.43743,0.776358,0.772626,-1.032071,0.791818,0.656847,0.550252,0.566337,0.194432,medium
0.64113,0.506878,0.353296,1.295218,1.493748,2.066594,1.174982,0.539999,0.653154,medium
0.824043,0.458753,0.178694,1.277346,0.277362,0.932824,0.912195,0.795178,0.327683,low
0.468191,0.446587,0.241277,0.314203,-1.055057,-0.877114,-1.297934,0.660997,0,low
0.507491,0.545451,0.372571,0.691602,0.487341,0.234404,0.844164,0.465399,0.291905,medium
0.75376,0.382906,0.219743,0.485995,-0.365641,-0.70128,0.307206,0.775542,0.040671,low
0.860515,0.643741,0.621338,0.564535,1.214501,1.546637,1.321978,0.879153,0.266918,high
0.75077,0.46894,0.361355,1.029662,-0.212907,0.435158,0.926137,0.611726,0.274704,low
0.058046,0.542215,0.454551,-0.296563,-1.055057,-0.877114,-1.297934,0.859721,0,low
0.632187,0.372941,0.193877,0.759885,-1.055057,-0.877114,-1.297934,0.28228,0,low
0.892748,0.405149,0.259722,-0.075353,-0.100531,-0.228042,0.547514,0.77142,0.070485,low
0.918767,0.359928,0.118111,-0.179581,-1.055057,-0.877114,-0.115781,0.767659,0.013253,low
0.762322,0.480588,0,0.790178,-0.850134,-0.709227,0.213588,0.636182,0.029696,low
0.306335,0.392556,0.268042,-1.958494,-1.055057,-0.877114,-1.297934,0.854227,0,low
0.682392,0.513898,0.207458,1.912129,1.246355,1.592271,1.185908,0.847067,0.423935,low
0.399285,0.717098,0.735651,-1.346878,-0.606145,-0.7163,-0.266613,0.934982,0.002232,high
0.813938,0.514407,0.427201,0.564535,0.523498,0.354746,1.065072,0.726589,0.248243,medium
0.617415,0.533752,0.518871,0.54498,1.24413,1.506685,0.961248,0.53714,0.357326,medium
