@relation 'AT: bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R12-28-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute '-0.213total input-0.213nani-0.211p_accumulated_ag_inputs_2007-0.211n_livestock_food_demand_2007-0.209n_livestock.waste_2007...' numeric
@attribute -0.241n_human_waste_2007-0.239human_n_demand_2007-0.239p_human_waste_kg_2007-0.237p_human_food_demand_kg_2007-0.227n_fert_urban_2007... numeric
@attribute 0.307lst+0.271lst_yrmean-0.247npp-0.216omws-0.191lat_dd... numeric
@attribute -0.252lat_dd+0.224atmo_pdep_2002+0.215atmo_pdep_2007-0.211p_human_food_demand_kg_2007-0.207p_human_nonfood_demand_kg_2007... numeric
@attribute '0.41 wetlands+0.349pctwdwet2011ws+0.314pcthbwet2011ws-0.29depth+0.225ntl...' numeric
@attribute 0.284ntl-0.254depth+0.249ptl-0.223napi+0.218n_rock_2007... numeric
@attribute '0.536wsarea_km2+0.51 lake_area_ha+0.237depth-0.21runoffws-0.208npp_yrmean...' numeric
@attribute 0.368lake_area_ha+0.346wsarea_km2-0.292sandws-0.255atmo_pdep_2007+0.255npp... numeric
@attribute -0.469fire_yrmean-0.42fire-0.339p_f_fertilizer_2007-0.246p2o5ws+0.208wsarea_km2... numeric
@attribute '0.328napi+0.321precip-0.265n_cbnf_2007+0.25 ptl-0.246bfiws...' numeric
@attribute 0.524n_rock_2007+0.499damdensws+0.257fire-0.24omws+0.196fire_yrmean... numeric
@attribute logchl_A {low,medium,high}

@data
6.650024,0.141132,-2.00581,-0.27416,-2.955515,-0.064264,-0.312764,-0.095363,0.050691,-0.219244,-0.318144,low
2.402121,-2.564431,0.502683,3.458691,5.856512,-2.671107,-1.661532,4.383207,-10.082192,-1.365396,5.041359,medium
-3.600523,2.287462,1.841491,1.974784,0.473712,-1.143367,-0.288461,0.039809,0.016209,2.117965,-1.091279,medium
3.6274,1.496956,1.494256,1.218311,-0.649391,0.020181,0.191534,0.220625,-0.798778,-0.267638,0.439796,medium
6.358686,0.630996,-0.967414,-0.973823,-1.075013,-0.932323,0.01475,-0.648288,-0.141005,-0.2857,-0.27987,low
-1.702895,-3.570486,-2.640551,-0.261597,-1.137365,-0.648928,0.246061,-0.597368,0.463478,-0.236529,-0.321261,low
-0.800181,0.767802,-2.99824,-1.334189,0.412488,-0.953702,0.842461,-1.605412,-0.375355,-0.68116,0.38685,low
-3.979017,0.744972,0.094821,-0.07977,-2.215482,1.527773,-0.109255,1.146184,-0.648315,-0.275295,0.724212,medium
-1.337758,-8.118007,1.931082,-3.847708,-1.240501,0.897832,1.532805,-1.405756,-0.458382,-0.90429,0.010135,low
-4.644041,1.782205,0.661102,1.824757,-1.059669,-0.66741,0.175115,-0.921995,0.093553,1.962231,-0.118675,medium
-1.454942,-7.80653,0.377739,-2.478632,1.121617,-0.236265,-0.091709,-0.027144,-0.482642,-0.353677,-0.210541,medium
-0.9398,3.634742,-1.449337,-3.055146,1.99774,1.779824,1.358874,-0.628932,-1.738627,1.521321,0.563539,medium
2.309231,1.768354,2.104919,0.443933,0.172097,-1.155444,1.761309,-0.021355,0.254175,-0.067945,0.112113,medium
1.851314,1.147936,-0.451483,-0.071367,0.106869,-0.229564,1.115495,-1.97815,0.028681,-0.315523,-0.14996,medium
-1.258582,3.871753,-0.606305,-1.654756,-0.092908,2.066328,0.464644,-0.202175,-0.406303,2.435062,0.367077,medium
-4.191724,1.011281,-1.308073,2.238899,-2.536692,1.826744,1.290689,0.308142,-2.285141,-1.303252,-1.144817,medium
-4.022418,-1.540108,-2.916283,-0.124859,-2.162817,-0.768973,0.994014,-0.538131,-0.548631,-0.764828,-0.109071,low
-1.335305,-7.149405,7.968637,-0.993798,-1.890098,-0.707201,-0.76737,2.301747,-4.180305,-0.400359,1.492854,low
-4.672537,-0.502604,-0.252079,1.688066,1.097772,-2.402159,0.835489,-0.61075,-0.204529,1.444654,0.113212,medium
-0.807012,-2.353265,1.295286,2.857975,-1.223879,-1.055954,-0.213631,-0.059228,-0.051828,0.433548,-1.007906,low
-8.758351,-1.984447,-0.748168,-2.68708,0.540984,-1.860462,-0.762821,-1.302555,0.331812,1.818718,0.557079,high
