@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,9-19,21-30,32,34-38,40-43,45-51,53-59-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute runoffws numeric
@attribute logchl_A {low,medium,high}

@data
0.9997,0.184766,0.354983,0.161482,-1.704039,0,-1.10481,-0.920603,-0.591376,0.838594,low
0.303993,0.777476,0.522086,0.376103,-0.11278,0,-1.10481,-0.920603,-0.591376,0.707673,medium
0.086316,0.466197,0.52867,0.398438,-0.882285,0.07156,0.94587,0.818446,-0.377845,0.398502,medium
0.495148,0.28258,0.445007,0.290193,-1.844142,0,-0.802617,-0.784849,-0.591376,0.491199,medium
0.77934,0.170512,0.292431,0.118111,-2.510287,0,-1.10481,-0.920603,-0.591376,0.706876,low
0.681328,0.896534,0.376562,0.178694,-0.075353,0.278635,0.476847,0.166128,0.717539,0.792872,low
0.851404,0.567539,0.484435,0.193877,-0.017649,0.049413,0.614322,0.759585,-0.451825,0.689534,low
0.664264,0.540542,0.537655,0.452641,-0.166711,0.199242,0.623254,0.523683,0.204257,0.660204,medium
0.722132,0.716145,0.479895,0.219743,0.845775,0.55002,-0.825717,-0.803132,3.166875,0.675461,low
0.432929,0.483402,0.564815,0.564847,0.579363,0.106293,1.424116,1.41647,-0.247166,0.626301,medium
0.606758,0.871877,0.457055,0.3447,0.35894,0.502094,-0.696151,-0.733698,2.673989,0.771398,medium
0.949775,0.418906,0.718135,0.577132,-0.792822,0.017206,0.409331,0.196466,-0.56298,0.288131,medium
0.30273,0.302253,0.479198,0.516548,-0.48149,0.080355,-0.381262,-0.53497,-0.346672,0.482441,medium
0.652837,0.415352,0.483765,0.161482,-0.971851,0.038876,-0.415707,-0.505175,-0.484892,0.317774,medium
0.885714,0.43743,0.776358,0.772626,-1.032071,0.007273,0.637116,0.453136,-0.572877,0.383113,medium
0.582055,0.64113,0.506878,0.353296,1.295218,0.11114,-0.121288,-0.096971,-0.226495,0.722111,medium
