@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,10-12,14-17,20-56,58-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute lst_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute agkffactws numeric
@attribute depth numeric
@attribute logchl_A {low,medium,high}

@data
0.184766,0.354983,0.161482,0.919393,-3.577476,-0.646203,-2.217468,0,0.642526,low
0.777476,0.522086,0.376103,0,0.911593,0.986708,1.301102,0,0.420277,medium
0.466197,0.52867,0.398438,0,1.372891,1.498444,1.594129,0.448982,0.465106,medium
0.28258,0.445007,0.290193,0.738174,0.278952,0.113181,-0.264245,0.010942,0.598933,medium
0.170512,0.292431,0.118111,0.927898,-1.921935,-0.572567,-1.580219,0,0.606981,low
0.896534,0.376562,0.178694,0.561953,-0.463161,-0.003292,-0.033087,0.112087,0.800212,low
0.567539,0.484435,0.193877,0.639797,-0.904524,0.151016,-0.637419,0.087,0.763712,low
0.540542,0.537655,0.452641,0.550039,0.065724,0.637457,0.162243,0.357372,0.58269,medium
0.716145,0.479895,0.219743,0.602758,-0.239922,0.051735,-0.048559,0,0.688672,low
0.483402,0.564815,0.564847,0.413751,1.066954,0.653798,0.985998,0.192055,0.514877,medium
0.871877,0.457055,0.3447,0.180487,0.130593,-0.032834,0.498311,0.015274,0.45592,medium
0.418906,0.718135,0.577132,0.747924,-0.572045,-0.351373,-1.057926,0.163541,0.411966,medium
0.302253,0.479198,0.516548,0.661766,0.578155,0.001626,-0.161081,0.01598,0.605858,medium
