@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-37,39,41-49,51-59'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute pctwdwet2011ws numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.184766,0.354983,0.161482,-1.704039,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.777476,0.522086,0.376103,-0.11278,-0.966664,-0.850623,0.742329,'\'(0.980205-1.960411]\''
0.466197,0.52867,0.398438,-0.882285,0.896534,0.848771,0.215016,'\'(0.980205-1.960411]\''
0.28258,0.445007,0.290193,-1.844142,-0.787245,-0.741577,0.218029,'\'(0.980205-1.960411]\''
0.170512,0.292431,0.118111,-2.510287,-0.966664,-0.850623,0.195273,'\'(-inf-0.980205]\''
0.896534,0.376562,0.178694,-0.075353,0.231938,0.039611,0.277528,'\'(-inf-0.980205]\''
0.567539,0.484435,0.193877,-0.017649,0.733212,0.413002,0.300714,'\'(-inf-0.980205]\''
0.540542,0.537655,0.452641,-0.166711,0.59115,0.437744,0.125475,'\'(0.980205-1.960411]\''
0.716145,0.479895,0.219743,0.845775,-0.817299,-0.767528,0.547145,'\'(-inf-0.980205]\''
0.483402,0.564815,0.564847,0.579363,1.439161,1.532313,0,'\'(0.980205-1.960411]\''
0.871877,0.457055,0.3447,0.35894,-0.73446,-0.720581,0.785619,'\'(0.980205-1.960411]\''
0.418906,0.718135,0.577132,-0.792822,0.296716,0.166922,0.182091,'\'(0.980205-1.960411]\''
0.302253,0.479198,0.516548,-0.48149,-0.489722,-0.543956,0.17838,'\'(0.980205-1.960411]\''
0.415352,0.483765,0.161482,-0.971851,-0.448212,-0.50378,0.212752,'\'(0.980205-1.960411]\''
0.43743,0.776358,0.772626,-1.032071,0.546414,0.432497,0,'\'(0.980205-1.960411]\''
0.64113,0.506878,0.353296,1.295218,-0.064377,-0.285144,0.00191,'\'(0.980205-1.960411]\''
0.824043,0.458753,0.178694,1.277346,1.027497,0.877351,0.261493,'\'(-inf-0.980205]\''
0.468191,0.446587,0.241277,0.314203,-0.966664,-0.850623,0.053872,'\'(-inf-0.980205]\''
0.507491,0.545451,0.372571,0.691602,1.283418,1.33001,0.588646,'\'(0.980205-1.960411]\''
0.75376,0.382906,0.219743,0.485995,-0.160488,-0.296974,0.031007,'\'(-inf-0.980205]\''
0.860515,0.643741,0.621338,0.564535,2.938911,3.75171,0.494456,'\'(1.960411-inf)\''
0.75077,0.46894,0.361355,1.029662,1.04179,1.001799,0.017962,'\'(-inf-0.980205]\''
0.058046,0.542215,0.454551,-0.296563,-0.966664,-0.850623,0.610771,'\'(-inf-0.980205]\''
0.632187,0.372941,0.193877,0.759885,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.892748,0.405149,0.259722,-0.075353,-0.165334,-0.315165,0.413692,'\'(-inf-0.980205]\''
0.918767,0.359928,0.118111,-0.179581,-0.571518,-0.626553,0.400389,'\'(-inf-0.980205]\''
0.762322,0.480588,0,0.790178,-0.254035,-0.351098,0.007987,'\'(-inf-0.980205]\''
0.306335,0.392556,0.268042,-1.958494,-0.966664,-0.850623,0.013892,'\'(-inf-0.980205]\''
0.682392,0.513898,0.207458,1.912129,1.115022,0.976043,0.679469,'\'(-inf-0.980205]\''
0.399285,0.717098,0.735651,-1.346878,-0.676314,-0.669136,0.06231,'\'(1.960411-inf)\''
0.813938,0.514407,0.427201,0.564535,1.841049,2.113485,0.313943,'\'(0.980205-1.960411]\''
0.617415,0.533752,0.518871,0.54498,0.140553,0.030646,0.650292,'\'(0.980205-1.960411]\''
0.130236,0.412665,0.268042,-1.576082,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.91983,0.431111,0.275856,-0.006387,-0.966664,-0.850623,0.483775,'\'(-inf-0.980205]\''
0.891431,0.408306,0.34907,0.112375,0.435305,0.217999,0.372883,'\'(-inf-0.980205]\''
0.768193,0.62379,0.605308,0.331937,2.336715,2.675116,0.078948,'\'(1.960411-inf)\''
0.192471,0.481734,0.296805,-1.505657,-0.896047,-0.808867,0.034382,'\'(-inf-0.980205]\''
0.433348,0.676336,0.55908,-1.032071,0.890776,0.837234,0.011756,'\'(0.980205-1.960411]\''
0.165702,0.272917,0,-1.468937,-0.68269,-0.672578,0.010689,'\'(-inf-0.980205]\''
0.787975,0.517247,0.178694,0.973968,0.304594,0.118982,0.096185,'\'(-inf-0.980205]\''
0.291621,0.366627,0,-1.013889,-0.966664,-0.850623,0.23847,'\'(-inf-0.980205]\''
0.757384,0.466872,0.386152,-0.299107,-0.349275,-0.429441,0.824681,'\'(-inf-0.980205]\''
0.576782,0.659947,0.688013,0.812461,-0.452152,-0.506232,0.584068,'\'(1.960411-inf)\''
0.456702,0.621771,0.576398,-0.147088,1.160063,1.118891,0.244125,'\'(0.980205-1.960411]\''
0.100198,0.567873,1,-1.558106,-0.412912,-0.504462,0.188863,'\'(-inf-0.980205]\''
