LAT_DD,LON_DD,WSAREA_km2,lake_AREA_HA,NTL,PTL,SNOW_YrMean,FIRE,FIRE_YrMean,LST,LST_YrMean,NPP,NPP_YrMean,Precip,Precip_YrMean,Tmean,Tmean_YrMean,Atmo_Pdep_2002,Atmo_Pdep_2007,Tot_Ndep_2000,Tot_Ndep_2007,Tot_Sdep_2000,Tot_Sdep_2007,N_CBNF_2007,N_Crop_N_Rem_2007,N_Fert_Farm_2007,N_Fert_Urban_2007,Human_N_Demand_2007,N_Human_Waste_2007,N_Livestock_Food_Demand_2007,N_Livestock.Waste_2007,N_Livestock_N_Content_2007,N_Rock_2007,nani,P_Crop_removal_2007,P_f_fertilizer_2007,P_livestock_demand_2007,P_livestock_Waste_2007,P_livestock_production_2007,P_nf_fertilizer_2007,P_human_food_demand_kg_2007,P_human_nonfood_demand_kg_2007,P_human_waste_kg_2007,P_Accumulated_ag_inputs_2007,NAPI,Total Input,Legacy,DamDensWs,PctWdWet2011Ws,PctHbWet2011Ws,wetlands,RunoffWs,ClayWs,SandWs,OmWs,BFIWs,AgKffactWs,P2O5Ws,Depth,logchl_A,lat_dd,lon_dd,wsarea_km2,lake_area_ha,ntl,ptl,snow_yrmean,fire,fire_yrmean,lst,lst_yrmean,npp,npp_yrmean,precip,precip_yrmean,tmean,tmean_yrmean,atmo_pdep_2002,atmo_pdep_2007,tot_ndep_2000,tot_ndep_2007,tot_sdep_2000,tot_sdep_2007,n_cbnf_2007,n_crop_n_rem_2007,n_fert_farm_2007,n_fert_urban_2007,human_n_demand_2007,n_human_waste_2007,n_livestock_food_demand_2007,n_livestock.waste_2007,n_livestock_n_content_2007,n_rock_2007,p_crop_removal_2007,p_f_fertilizer_2007,p_livestock_demand_2007,p_livestock_waste_2007,p_livestock_production_2007,p_nf_fertilizer_2007,p_human_food_demand_kg_2007,p_human_nonfood_demand_kg_2007,p_human_waste_kg_2007,p_accumulated_ag_inputs_2007,napi,total input,legacy,damdensws,pctwdwet2011ws,pcthbwet2011ws,runoffws,clayws,sandws,omws,bfiws,agkffactws,p2o5ws,depth
48.979029,-114.02184,3.75772,66.293055,2.181844,0.845098,1.758232,0.041393,0.041393,1.397301,0.599057,0.601632,0.328397,1.11694,2.043798,1.272248,0.551069,0.636428,0.974467,0.726465,0.743232,0.58237,0.478139,0,0,0,0,0,0,0,0,0,0.272186,0.1307131066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986324,1.137024,1.520521,0.318833,1.839209,0,0.044932,0.919078,0.093422,0.9997002557,0.1847656273,-0.09710098488,-0.1255780477,0.3549832825,0.1614820777,0.9193927579,-0.156254776,-0.3162411584,-0.8002206322,-3.577476415,0.8989494668,0.4729425478,0.4181169278,0.9230930895,-0.6462032273,-2.217468142,-1.704038706,0.1534494287,0.3604025818,0.428782171,0.2875531585,0.2442542269,-0.8673031116,-1.086036462,-1.055057433,0,0,0,0,-1.104809537,-0.9611005299,0.2155447663,-0.8771139859,0,-0.9666635079,-0.9206029358,-0.8506230455,-0.4296904683,-0.5523441956,-0.5052730143,-0.5913755086,-1.297934405,-0.8381044685,-1.922209799,-1.17675306,-0.3416808224,0,-0.7718548615,0.8385938109,0.5001053698,0.6622767526,0.1663970234,0.9015525569,0,-0.6564439257,0.642525777
33.036064,-79.98379,2.290436,14.437998,2.842609,1.568202,0,0.68686,0.472641,1.481318,1.370309,0.454755,0.561161,1.976946,1.982853,1.425636,1.291077,0.913512,0.973483,1.063884,0.952029,1.094592,0.989887,0,0,0,0,0,0,0,0,0,0.48006,0.1335966537,0,0,0,0,0,0,0,0,0,0,0,0.881374,0,0,1.407038,1.124358,0.7938278859,2.523746,1.54108,1.657351,0.350248,1.812913,0,0.054996,0.255273,1.125806,0.3039930704,0.7774757561,-0.09715263336,-0.1321061784,0.522085725,0.3761029272,0,10.15402953,10.41390872,0.1667489018,0.9115933819,0.8446684682,0.767854903,0.7400528121,0.661794262,0.9867083501,1.30110188,-0.1127797765,0.1463708889,0.6894374445,0.656773785,0.6195627022,0.5673205247,-0.8673031116,-1.086036462,-1.055057433,0,0,0,0,-1.104809537,-0.9611005299,0.3979854415,-0.8771139859,0,-0.9666635079,-0.9206029358,-0.8506230455,-0.4296904683,-0.5523441956,-0.5052730143,-0.5913755086,-1.297934405,-0.8381044685,-0.9841149146,-1.17675306,-0.3416808224,0.7423294693,2.820445428,0.7076730141,0.7947440535,0.7647746664,0.184712362,0.8780569092,0,-0.3478296888,0.4202774768
28.047742,-97.859866,4.83738,5.701737,2.868644,1.643453,0,0.041393,0.041393,1.481318,1.449563,0.269568,0.300067,1.98592,1.915475,1.473706,1.352705,0.779519,0.816901,0.965261,0.927573,0.659774,0.625483,0.071736,1.261869,1.399322,0.091444,0.247378,0.197714,1.190161,1.104217,0.577702,0.410926,0.5239348811,0.641386,0.51395,0.806242,0.640927,0.48093,0.012242,0.033102,0.026073,0.051195,2.628388,1.621122,2.596129,6.260528,0,0.407549,0.029419,0.2109305358,1.431364,1.594667,1.497588,0.138466,1.041393,0.067992,0.066375,0.389166,1.20167,0.08631640499,0.4661967225,-0.09706298079,-0.1332060028,0.5286697784,0.3984377968,0,-0.156254776,-0.3162411584,0.1667489018,1.372891035,0.7762293301,0.4370483931,0.7434121522,0.3729142488,1.498443685,1.594129028,-0.8822849003,-0.9800233428,0.5932650142,0.6300695559,0.3377245035,0.3372724323,-0.7522023559,0.6142182016,0.9250003766,0.05443970162,0.08568696123,0.07155992855,0.4595212668,0.9458703599,0.6486361658,0.3373099668,0.6825036017,0.3317679335,0.8965344978,0.8184456734,0.8487713024,-0.3207337771,-0.3895249975,-0.3453439289,-0.3778451893,0.9171912857,0.6137058949,0.8409932609,1.140557767,-0.3416808224,0.2150159647,-0.6778617719,0.3985024054,0.833819833,0.6450978835,0.06124080225,0.1886987507,0.4489817481,0.001109242177,0.4651061413
37.41662,-108.404583,4.702662,65.386309,2.537819,1.278754,1.411673,0.041393,0.041393,1.564924,1.261617,0.443355,0.323858,1.754559,1.610272,1.343581,0.961861,0.612032,0.964888,0.753447,0.798283,0.491189,0.466287,0.385231,0.44233,0.223292,0,0,0,0.188082,0.16272,0.036417,0.514406,0.2054849782,0.081493,0.01591,0.077638,0.050032,0.03086,0,0,0,0,1.041641,0,0.989729,0,0.084725,0.41326,0.055268,0.2190524005,1.758885,1.600628,1.253155,0.248648,1.756437,0.001657,0.133515,0.788875,1.027757,0.4951484976,0.2825798417,-0.09706772288,-0.1256921996,0.4450066523,0.2901933269,0.7381744461,-0.156254776,-0.3162411584,1.128988149,0.2789519438,0.8404553961,0.4671916277,0.6568041423,-0.9356292914,0.11318135,-0.2642454519,-1.844141898,0.08454156995,0.3867141371,0.4888939846,0.2284519051,0.2367720642,-0.2491981263,-0.4900366827,-0.7390965119,0,0,0,0.07261847674,-0.8026165508,-0.859626446,0.4281292182,-0.6789526352,0.01027031389,-0.7872447146,-0.7848494412,-0.7415774265,-0.4296904683,-0.5523441956,-0.5052730143,-0.5913755086,-0.4200709617,-0.8381044685,-0.8687867212,-1.17675306,0.937936061,0.2180289917,-0.5952747576,0.4911987945,0.8381666097,0.4619956942,0.1254782889,0.8275952344,0.01094191606,2.059968529,0.59893256
43.929209,-114.840386,87.076383,19.487613,1.934498,0.69897,1.774498,0.041393,0.041393,1.496843,0.88349,0.399646,0.264367,1.464549,1.899984,1.279165,0.685092,0.496037,0.790429,0.773849,0.76752,0.423297,0.370304,0,0,0,0,0,0,0,0,0,0.303291,0.129222444,0,0,0,0,0,0,0,0,0,0,0,0.881374,0,0,0.370127,0.249383,0.2486352048,2.520929,1.100962,1.696245,0.408507,1.88064,0,0.053863,0.812913,0.256477,0.7793399866,0.170512152,-0.09416816346,-0.1314704729,0.2924313606,0.1181105634,0.9278983719,-0.156254776,-0.3162411584,0.345429431,-1.921935049,0.8243019605,0.3918164368,0.5482413813,0.3064973133,-0.5725674189,-1.580219207,-2.510286747,-1.170453329,0.4066091912,0.4553029559,0.1844460015,0.1761780366,-0.8673031116,-1.086036462,-1.055057433,0,0,0,0,-1.104809537,-0.9611005299,0.2428440784,-0.8771139859,0,-0.9666635079,-0.9206029358,-0.8506230455,-0.4296904683,-0.5523441956,-0.5052730143,-0.5913755086,-1.297934405,-0.8381044685,-0.9841149146,-1.17675306,-0.3416808224,0.1952727499,0.02491860675,0.7068757348,0.4738088658,0.7939097527,0.218678089,0.938571426,0,-0.3825733226,0.6069807136
41.683146,-73.146518,23.083423,56.199748,2.267172,0.90309,1.07467,0.041393,0.041393,1.391671,1.134117,0.587499,0.485867,2.276588,2.030499,1.33264,1.010477,0.920029,0.923561,1.201288,1.084356,1.179726,1.088062,0.379621,1.0407,0.904048,0.396446,0.875354,0.769845,0.943425,0.851665,0.426828,0.490031,0.4685575186,0.41474,0.21317,0.518658,0.400515,0.251937,0.110452,0.222944,0.183019,0.313819,2.463276,1.458978,1.948589,5.506302,0.05304,0.526037,0.126792,0.285643139,2.824776,0.875792,1.677885,0.663045,1.684412,0.016974,0.061762,1.390051,0.667453,0.6813279689,0.8965342912,-0.0964207191,-0.1268487131,0.3765620847,0.1786943906,0.5619530387,-0.156254776,-0.3162411584,-0.8650175004,-0.463161398,0.8937263661,0.6724572862,0.8522212298,0.8660742511,-0.00329246518,-0.03308741012,-0.0753534565,-0.2127499094,0.8234272502,0.8012655463,0.6747444408,0.629298361,-0.2581993982,0.3162129224,0.224181586,0.2360176933,0.3032057186,0.2786350648,0.3642564755,0.4768472337,0.2282335807,0.4067364925,0.1313829228,0.1376067135,0.231937596,0.1661277741,0.03961111291,0.5533584177,0.5442530884,0.6173466034,0.7175388634,0.7780398998,0.4684963798,0.1517807799,0.8613838575,0.4593918185,0.277528231,-0.3667570738,0.7928718076,0.3096143175,0.7801564698,0.3670769326,0.7632404265,0.1120869542,-0.1403491714,0.8002120684
45.580646,-92.040018,9.12728,25.474763,2.693727,0.954243,1.223538,0.041393,0.041393,1.415302,1.058288,0.259103,0.257629,2.043244,1.710075,1.347135,0.883377,0.930077,0.968799,1.083272,0.992926,0.777007,0.672787,0.814024,1.098402,0.98261,0.033583,0.173693,0.136523,1.03698,0.92569,0.539262,0.445485,0.4483058036,0.435338,0.317849,0.735569,0.619234,0.357607,0.003875,0.021477,0.016869,0.033458,2.236689,1.689032,2.360191,4.570225,0,0.569985,0.816302,0.4864058749,2.459655,1.01494,1.679246,0.760422,1.819548,0.013175,0.07616,1.281033,0.62941,0.8514041595,0.5675386871,-0.09691197608,-0.1307167393,0.4844345996,0.1938768544,0.6397972374,-0.156254776,-0.3162411584,-0.5930432921,-0.9045238498,0.7723618038,0.3832793802,0.7648709009,-0.5077286123,0.1510159117,-0.6374190522,-0.01764904296,0.1126758883,0.7083436943,0.7014304277,0.4137120145,0.3671354276,0.4388022967,0.393961163,0.3353477805,0.01999309413,0.06016390041,0.04941266742,0.4003780692,0.6143216426,0.5415250972,0.367640683,0.1814697708,0.2051796982,0.733211584,0.7595853328,0.4130022525,-0.3952020531,-0.4467050222,-0.401800313,-0.4518248216,0.5870792483,0.6745233052,0.5898714548,0.5148984864,-0.3416808224,0.300714453,1.836212953,0.6895337062,0.4110814002,0.7811759806,0.4238489438,0.883985325,0.08700044903,0.3011678976,0.7637117932
41.292111,-93.590405,13.322807,48.737036,2.904174,1.826075,1.051886,0.041393,0.041393,1.4693,1.224983,0.362322,0.287021,1.691678,1.904819,1.392829,1.051558,0.904121,0.947076,1.066632,1.131751,0.731651,0.811366,1.510204,1.73777,1.505953,0.542623,0.643214,0.550488,1.025404,0.9305,0.48872,0.441366,0.5385781659,0.919557,0.714393,0.674096,0.532292,0.364609,0.18492,0.130054,0.104746,0.190757,2.821287,0.418353,2.790994,5.85487,0.243073,0.23783,0.110692,0.1535492725,2.356026,1.535447,1.04977,0.401279,1.427998,0.054119,0.088083,0.740363,1.955303,0.6642642759,0.5405415449,-0.09676429331,-0.127788208,0.5376550452,0.4526409111,0.5500391135,-0.156254776,-0.3162411584,0.02843118209,0.06572386409,0.8105082148,0.4205190905,0.6332651782,0.3272271489,0.6374572345,0.1622434175,-0.1667111208,-0.04359151084,0.6921171626,0.8530175473,0.3843133849,0.4546202922,1.555826442,1.255451875,1.075884551,0.3230417984,0.2227969063,0.1992417429,0.3959085746,0.6232544613,0.4006924324,0.3640256414,1.35891435,0.4611590414,0.5911495592,0.523682704,0.4377442299,1.216141205,0.08735394908,0.1372281166,0.2042569383,1.079760713,-0.4634446829,1.048398811,0.990404988,3.329494329,0.1254750886,-0.418196237,0.660204185,0.7906364553,0.30964213,0.2144640745,0.534132843,0.3573720912,0.6667886792,0.5826902757
42.61823,-83.505888,2.932515,30.037332,2.675778,1.041393,1.152704,0.041393,0.041393,1.449563,1.172471,0.419618,0.338112,1.62154,1.834842,1.337809,1.007223,1.080424,1.093387,1.233255,1.12066,1.212772,1.05594,0.319233,0.467062,0.398858,1.208619,1.640649,1.519659,0.183223,0.150281,0.045864,0.471576,0.6624705167,0.106043,0.092864,0.064633,0.043294,0.023516,0.455673,0.733007,0.647722,0.90106,1.638915,2.975399,1.879468,0,0,1.037078,0.100003,0.5268431527,2.409933,1.061111,1.830215,0.428598,1.80078,0,0.047146,1.056905,0.686189,0.7221324652,0.7161448879,-0.09713003215,-0.1301423489,0.4798954341,0.2197434062,0.6027576052,-0.156254776,-0.3162411584,-0.1987261515,-0.2399220638,0.8316829671,0.4852514681,0.6070096183,0.02720404521,0.05173478561,-0.0485594413,0.8457750676,1.008916865,0.854599939,0.8409069567,0.696164035,0.6090197559,-0.3550922335,-0.4567125434,-0.4906684664,0.7195317105,0.5682891253,0.550020178,0.07074241642,-0.8257174515,-0.8333028699,0.3905394565,-0.6192559599,0.0599460986,-0.8172988299,-0.8031318814,-0.767527881,3.62590685,3.053105986,3.467786745,3.166874897,0.08329345089,1.826540823,0.07821149316,-1.17675306,-0.3416808224,0.5471448258,-0.4523473684,0.6754611739,0.4447494132,0.8942652706,0.2303913938,0.8672159945,0,-0.5885512468,0.6886715826
35.990788,-96.871787,83.217745,177.657513,3.01157,2.20412,0.79125,0.041393,0.041861,1.461099,1.397001,0.315326,0.162817,2.480103,1.92093,1.394364,1.224806,1.034034,1.121903,1.05024,1.10157,0.752229,0.783602,0.478372,1.061594,1.180183,0.113356,0.359188,0.293679,1.454961,1.361735,0.813398,0.408347,0.573109648,0.438202,0.426653,1.041047,0.861329,0.674373,0.013784,0.054031,0.042772,0.082526,2.632923,2.565144,2.89009,6.264763,0.005187,0,0,0,2.236237,1.543207,1.356672,0.285341,1.222745,0.029084,0.075618,0.537819,1.148911,0.4329291069,0.4834023037,-0.09430398773,-0.1115581664,0.5648146767,0.56484654,0.4137505857,-0.156254776,-0.3045965592,-0.0659558723,1.066954082,0.79314001,0.2631524266,0.9284053279,0.3963023053,0.6537982734,0.9859983218,0.5793630708,1.214050647,0.6761324686,0.8200620216,0.397651532,0.4370928907,-0.09975294551,0.3443657029,0.6149160012,0.06748465527,0.1244157857,0.1062931722,0.5617605701,1.424116018,1.30539086,0.3350465067,0.1884339776,0.2754154765,1.439160915,1.416469772,1.532313483,-0.3070096129,-0.2865812782,-0.2429139899,-0.247166052,0.9210132462,1.459133274,1.153872141,1.142125336,-0.2633406303,0,-0.7718548615,0.6263009918,0.7962950675,0.5395391901,0.1468707677,0.350737947,0.1920547294,0.2845473772,0.5148765959
