@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily'

@attribute LAT_DD numeric
@attribute LON_DD numeric
@attribute WSAREA_km2 numeric
@attribute lake_AREA_HA numeric
@attribute NTL numeric
@attribute PTL numeric
@attribute SNOW_YrMean numeric
@attribute FIRE numeric
@attribute FIRE_YrMean numeric
@attribute LST numeric
@attribute LST_YrMean numeric
@attribute NPP numeric
@attribute NPP_YrMean numeric
@attribute Precip numeric
@attribute Precip_YrMean numeric
@attribute Tmean numeric
@attribute Tmean_YrMean numeric
@attribute Atmo_Pdep_2002 numeric
@attribute Atmo_Pdep_2007 numeric
@attribute Tot_Ndep_2000 numeric
@attribute Tot_Ndep_2007 numeric
@attribute Tot_Sdep_2000 numeric
@attribute Tot_Sdep_2007 numeric
@attribute N_CBNF_2007 numeric
@attribute N_Crop_N_Rem_2007 numeric
@attribute N_Fert_Farm_2007 numeric
@attribute N_Fert_Urban_2007 numeric
@attribute Human_N_Demand_2007 numeric
@attribute N_Human_Waste_2007 numeric
@attribute N_Livestock_Food_Demand_2007 numeric
@attribute N_Livestock.Waste_2007 numeric
@attribute N_Livestock_N_Content_2007 numeric
@attribute N_Rock_2007 numeric
@attribute nani numeric
@attribute P_Crop_removal_2007 numeric
@attribute P_f_fertilizer_2007 numeric
@attribute P_livestock_demand_2007 numeric
@attribute P_livestock_Waste_2007 numeric
@attribute P_livestock_production_2007 numeric
@attribute P_nf_fertilizer_2007 numeric
@attribute P_human_food_demand_kg_2007 numeric
@attribute P_human_nonfood_demand_kg_2007 numeric
@attribute P_human_waste_kg_2007 numeric
@attribute P_Accumulated_ag_inputs_2007 numeric
@attribute NAPI numeric
@attribute 'Total Input' numeric
@attribute Legacy numeric
@attribute DamDensWs numeric
@attribute PctWdWet2011Ws numeric
@attribute PctHbWet2011Ws numeric
@attribute wetlands numeric
@attribute RunoffWs numeric
@attribute ClayWs numeric
@attribute SandWs numeric
@attribute OmWs numeric
@attribute BFIWs numeric
@attribute AgKffactWs numeric
@attribute P2O5Ws numeric
@attribute Depth numeric
@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute wsarea_km2 numeric
@attribute lake_area_ha numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute fire numeric
@attribute fire_yrmean numeric
@attribute lst numeric
@attribute lst_yrmean numeric
@attribute npp numeric
@attribute npp_yrmean numeric
@attribute precip numeric
@attribute precip_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute atmo_pdep_2002 numeric
@attribute atmo_pdep_2007 numeric
@attribute tot_ndep_2000 numeric
@attribute tot_ndep_2007 numeric
@attribute tot_sdep_2000 numeric
@attribute tot_sdep_2007 numeric
@attribute n_cbnf_2007 numeric
@attribute n_crop_n_rem_2007 numeric
@attribute n_fert_farm_2007 numeric
@attribute n_fert_urban_2007 numeric
@attribute human_n_demand_2007 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock_food_demand_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute n_livestock_n_content_2007 numeric
@attribute n_rock_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_f_fertilizer_2007 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute p_nf_fertilizer_2007 numeric
@attribute p_human_food_demand_kg_2007 numeric
@attribute p_human_nonfood_demand_kg_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute napi numeric
@attribute 'total input' numeric
@attribute legacy numeric
@attribute damdensws numeric
@attribute pctwdwet2011ws numeric
@attribute pcthbwet2011ws numeric
@attribute runoffws numeric
@attribute clayws numeric
@attribute sandws numeric
@attribute omws numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute p2o5ws numeric
@attribute depth numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
48.979029,-114.02184,3.75772,66.293055,2.181844,0.845098,1.758232,0.041393,0.041393,1.397301,0.599057,0.601632,0.328397,1.11694,2.043798,1.272248,0.551069,0.636428,0.974467,0.726465,0.743232,0.58237,0.478139,0,0,0,0,0,0,0,0,0,0.272186,0.130713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986324,1.137024,1.520521,0.318833,1.839209,0,0.044932,0.919078,0.9997,0.184766,-0.097101,-0.125578,0.354983,0.161482,0.919393,-0.156255,-0.316241,-0.800221,-3.577476,0.898949,0.472943,0.418117,0.923093,-0.646203,-2.217468,-1.704039,0.153449,0.360403,0.428782,0.287553,0.244254,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.215545,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-1.92221,-1.176753,-0.341681,0,-0.771855,0.838594,0.500105,0.662277,0.166397,0.901553,0,-0.656444,0.642526,'\'(-inf-0.980205]\''
33.036064,-79.98379,2.290436,14.437998,2.842609,1.568202,0,0.68686,0.472641,1.481318,1.370309,0.454755,0.561161,1.976946,1.982853,1.425636,1.291077,0.913512,0.973483,1.063884,0.952029,1.094592,0.989887,0,0,0,0,0,0,0,0,0,0.48006,0.133597,0,0,0,0,0,0,0,0,0,0,0,0.881374,0,0,1.407038,1.124358,0.793828,2.523746,1.54108,1.657351,0.350248,1.812913,0,0.054996,0.255273,0.303993,0.777476,-0.097153,-0.132106,0.522086,0.376103,0,10.15403,10.413909,0.166749,0.911593,0.844668,0.767855,0.740053,0.661794,0.986708,1.301102,-0.11278,0.146371,0.689437,0.656774,0.619563,0.567321,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.397985,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-0.984115,-1.176753,-0.341681,0.742329,2.820445,0.707673,0.794744,0.764775,0.184712,0.878057,0,-0.34783,0.420277,'\'(0.980205-1.960411]\''
28.047742,-97.859866,4.83738,5.701737,2.868644,1.643453,0,0.041393,0.041393,1.481318,1.449563,0.269568,0.300067,1.98592,1.915475,1.473706,1.352705,0.779519,0.816901,0.965261,0.927573,0.659774,0.625483,0.071736,1.261869,1.399322,0.091444,0.247378,0.197714,1.190161,1.104217,0.577702,0.410926,0.523935,0.641386,0.51395,0.806242,0.640927,0.48093,0.012242,0.033102,0.026073,0.051195,2.628388,1.621122,2.596129,6.260528,0,0.407549,0.029419,0.210931,1.431364,1.594667,1.497588,0.138466,1.041393,0.067992,0.066375,0.389166,0.086316,0.466197,-0.097063,-0.133206,0.52867,0.398438,0,-0.156255,-0.316241,0.166749,1.372891,0.776229,0.437048,0.743412,0.372914,1.498444,1.594129,-0.882285,-0.980023,0.593265,0.63007,0.337725,0.337272,-0.752202,0.614218,0.925,0.05444,0.085687,0.07156,0.459521,0.94587,0.648636,0.33731,0.682504,0.331768,0.896534,0.818446,0.848771,-0.320734,-0.389525,-0.345344,-0.377845,0.917191,0.613706,0.840993,1.140558,-0.341681,0.215016,-0.677862,0.398502,0.83382,0.645098,0.061241,0.188699,0.448982,0.001109,0.465106,'\'(0.980205-1.960411]\''
37.41662,-108.404583,4.702662,65.386309,2.537819,1.278754,1.411673,0.041393,0.041393,1.564924,1.261617,0.443355,0.323858,1.754559,1.610272,1.343581,0.961861,0.612032,0.964888,0.753447,0.798283,0.491189,0.466287,0.385231,0.44233,0.223292,0,0,0,0.188082,0.16272,0.036417,0.514406,0.205485,0.081493,0.01591,0.077638,0.050032,0.03086,0,0,0,0,1.041641,0,0.989729,0,0.084725,0.41326,0.055268,0.219052,1.758885,1.600628,1.253155,0.248648,1.756437,0.001657,0.133515,0.788875,0.495148,0.28258,-0.097068,-0.125692,0.445007,0.290193,0.738174,-0.156255,-0.316241,1.128988,0.278952,0.840455,0.467192,0.656804,-0.935629,0.113181,-0.264245,-1.844142,0.084542,0.386714,0.488894,0.228452,0.236772,-0.249198,-0.490037,-0.739097,0,0,0,0.072618,-0.802617,-0.859626,0.428129,-0.678953,0.01027,-0.787245,-0.784849,-0.741577,-0.42969,-0.552344,-0.505273,-0.591376,-0.420071,-0.838104,-0.868787,-1.176753,0.937936,0.218029,-0.595275,0.491199,0.838167,0.461996,0.125478,0.827595,0.010942,2.059969,0.598933,'\'(0.980205-1.960411]\''
43.929209,-114.840386,87.076383,19.487613,1.934498,0.69897,1.774498,0.041393,0.041393,1.496843,0.88349,0.399646,0.264367,1.464549,1.899984,1.279165,0.685092,0.496037,0.790429,0.773849,0.76752,0.423297,0.370304,0,0,0,0,0,0,0,0,0,0.303291,0.129222,0,0,0,0,0,0,0,0,0,0,0,0.881374,0,0,0.370127,0.249383,0.248635,2.520929,1.100962,1.696245,0.408507,1.88064,0,0.053863,0.812913,0.77934,0.170512,-0.094168,-0.13147,0.292431,0.118111,0.927898,-0.156255,-0.316241,0.345429,-1.921935,0.824302,0.391816,0.548241,0.306497,-0.572567,-1.580219,-2.510287,-1.170453,0.406609,0.455303,0.184446,0.176178,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.242844,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-0.984115,-1.176753,-0.341681,0.195273,0.024919,0.706876,0.473809,0.79391,0.218678,0.938571,0,-0.382573,0.606981,'\'(-inf-0.980205]\''
41.683146,-73.146518,23.083423,56.199748,2.267172,0.90309,1.07467,0.041393,0.041393,1.391671,1.134117,0.587499,0.485867,2.276588,2.030499,1.33264,1.010477,0.920029,0.923561,1.201288,1.084356,1.179726,1.088062,0.379621,1.0407,0.904048,0.396446,0.875354,0.769845,0.943425,0.851665,0.426828,0.490031,0.468558,0.41474,0.21317,0.518658,0.400515,0.251937,0.110452,0.222944,0.183019,0.313819,2.463276,1.458978,1.948589,5.506302,0.05304,0.526037,0.126792,0.285643,2.824776,0.875792,1.677885,0.663045,1.684412,0.016974,0.061762,1.390051,0.681328,0.896534,-0.096421,-0.126849,0.376562,0.178694,0.561953,-0.156255,-0.316241,-0.865018,-0.463161,0.893726,0.672457,0.852221,0.866074,-0.003292,-0.033087,-0.075353,-0.21275,0.823427,0.801266,0.674744,0.629298,-0.258199,0.316213,0.224182,0.236018,0.303206,0.278635,0.364256,0.476847,0.228234,0.406736,0.131383,0.137607,0.231938,0.166128,0.039611,0.553358,0.544253,0.617347,0.717539,0.77804,0.468496,0.151781,0.861384,0.459392,0.277528,-0.366757,0.792872,0.309614,0.780156,0.367077,0.76324,0.112087,-0.140349,0.800212,'\'(-inf-0.980205]\''
45.580646,-92.040018,9.12728,25.474763,2.693727,0.954243,1.223538,0.041393,0.041393,1.415302,1.058288,0.259103,0.257629,2.043244,1.710075,1.347135,0.883377,0.930077,0.968799,1.083272,0.992926,0.777007,0.672787,0.814024,1.098402,0.98261,0.033583,0.173693,0.136523,1.03698,0.92569,0.539262,0.445485,0.448306,0.435338,0.317849,0.735569,0.619234,0.357607,0.003875,0.021477,0.016869,0.033458,2.236689,1.689032,2.360191,4.570225,0,0.569985,0.816302,0.486406,2.459655,1.01494,1.679246,0.760422,1.819548,0.013175,0.07616,1.281033,0.851404,0.567539,-0.096912,-0.130717,0.484435,0.193877,0.639797,-0.156255,-0.316241,-0.593043,-0.904524,0.772362,0.383279,0.764871,-0.507729,0.151016,-0.637419,-0.017649,0.112676,0.708344,0.70143,0.413712,0.367135,0.438802,0.393961,0.335348,0.019993,0.060164,0.049413,0.400378,0.614322,0.541525,0.367641,0.18147,0.20518,0.733212,0.759585,0.413002,-0.395202,-0.446705,-0.4018,-0.451825,0.587079,0.674523,0.589871,0.514898,-0.341681,0.300714,1.836213,0.689534,0.411081,0.781176,0.423849,0.883985,0.087,0.301168,0.763712,'\'(-inf-0.980205]\''
41.292111,-93.590405,13.322807,48.737036,2.904174,1.826075,1.051886,0.041393,0.041393,1.4693,1.224983,0.362322,0.287021,1.691678,1.904819,1.392829,1.051558,0.904121,0.947076,1.066632,1.131751,0.731651,0.811366,1.510204,1.73777,1.505953,0.542623,0.643214,0.550488,1.025404,0.9305,0.48872,0.441366,0.538578,0.919557,0.714393,0.674096,0.532292,0.364609,0.18492,0.130054,0.104746,0.190757,2.821287,0.418353,2.790994,5.85487,0.243073,0.23783,0.110692,0.153549,2.356026,1.535447,1.04977,0.401279,1.427998,0.054119,0.088083,0.740363,0.664264,0.540542,-0.096764,-0.127788,0.537655,0.452641,0.550039,-0.156255,-0.316241,0.028431,0.065724,0.810508,0.420519,0.633265,0.327227,0.637457,0.162243,-0.166711,-0.043592,0.692117,0.853018,0.384313,0.45462,1.555826,1.255452,1.075885,0.323042,0.222797,0.199242,0.395909,0.623254,0.400692,0.364026,1.358914,0.461159,0.59115,0.523683,0.437744,1.216141,0.087354,0.137228,0.204257,1.079761,-0.463445,1.048399,0.990405,3.329494,0.125475,-0.418196,0.660204,0.790636,0.309642,0.214464,0.534133,0.357372,0.666789,0.58269,'\'(0.980205-1.960411]\''
42.61823,-83.505888,2.932515,30.037332,2.675778,1.041393,1.152704,0.041393,0.041393,1.449563,1.172471,0.419618,0.338112,1.62154,1.834842,1.337809,1.007223,1.080424,1.093387,1.233255,1.12066,1.212772,1.05594,0.319233,0.467062,0.398858,1.208619,1.640649,1.519659,0.183223,0.150281,0.045864,0.471576,0.662471,0.106043,0.092864,0.064633,0.043294,0.023516,0.455673,0.733007,0.647722,0.90106,1.638915,2.975399,1.879468,0,0,1.037078,0.100003,0.526843,2.409933,1.061111,1.830215,0.428598,1.80078,0,0.047146,1.056905,0.722132,0.716145,-0.09713,-0.130142,0.479895,0.219743,0.602758,-0.156255,-0.316241,-0.198726,-0.239922,0.831683,0.485251,0.60701,0.027204,0.051735,-0.048559,0.845775,1.008917,0.8546,0.840907,0.696164,0.60902,-0.355092,-0.456713,-0.490668,0.719532,0.568289,0.55002,0.070742,-0.825717,-0.833303,0.390539,-0.619256,0.059946,-0.817299,-0.803132,-0.767528,3.625907,3.053106,3.467787,3.166875,0.083293,1.826541,0.078211,-1.176753,-0.341681,0.547145,-0.452347,0.675461,0.444749,0.894265,0.230391,0.867216,0,-0.588551,0.688672,'\'(-inf-0.980205]\''
35.990788,-96.871787,83.217745,177.657513,3.01157,2.20412,0.79125,0.041393,0.041861,1.461099,1.397001,0.315326,0.162817,2.480103,1.92093,1.394364,1.224806,1.034034,1.121903,1.05024,1.10157,0.752229,0.783602,0.478372,1.061594,1.180183,0.113356,0.359188,0.293679,1.454961,1.361735,0.813398,0.408347,0.57311,0.438202,0.426653,1.041047,0.861329,0.674373,0.013784,0.054031,0.042772,0.082526,2.632923,2.565144,2.89009,6.264763,0.005187,0,0,0,2.236237,1.543207,1.356672,0.285341,1.222745,0.029084,0.075618,0.537819,0.432929,0.483402,-0.094304,-0.111558,0.564815,0.564847,0.413751,-0.156255,-0.304597,-0.065956,1.066954,0.79314,0.263152,0.928405,0.396302,0.653798,0.985998,0.579363,1.214051,0.676132,0.820062,0.397652,0.437093,-0.099753,0.344366,0.614916,0.067485,0.124416,0.106293,0.561761,1.424116,1.305391,0.335047,0.188434,0.275415,1.439161,1.41647,1.532313,-0.30701,-0.286581,-0.242914,-0.247166,0.921013,1.459133,1.153872,1.142125,-0.263341,0,-0.771855,0.626301,0.796295,0.539539,0.146871,0.350738,0.192055,0.284547,0.514877,'\'(0.980205-1.960411]\''
