@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute nani numeric
@attribute wetlands numeric
@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute wsarea_km2 numeric
@attribute lake_area_ha numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute fire numeric
@attribute fire_yrmean numeric
@attribute lst numeric
@attribute lst_yrmean numeric
@attribute npp numeric
@attribute npp_yrmean numeric
@attribute precip numeric
@attribute precip_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute atmo_pdep_2002 numeric
@attribute atmo_pdep_2007 numeric
@attribute tot_ndep_2000 numeric
@attribute tot_ndep_2007 numeric
@attribute tot_sdep_2000 numeric
@attribute tot_sdep_2007 numeric
@attribute n_cbnf_2007 numeric
@attribute n_crop_n_rem_2007 numeric
@attribute n_fert_farm_2007 numeric
@attribute n_fert_urban_2007 numeric
@attribute human_n_demand_2007 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock_food_demand_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute n_livestock_n_content_2007 numeric
@attribute n_rock_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_f_fertilizer_2007 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute p_nf_fertilizer_2007 numeric
@attribute p_human_food_demand_kg_2007 numeric
@attribute p_human_nonfood_demand_kg_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute napi numeric
@attribute 'total input' numeric
@attribute legacy numeric
@attribute damdensws numeric
@attribute pctwdwet2011ws numeric
@attribute pcthbwet2011ws numeric
@attribute runoffws numeric
@attribute clayws numeric
@attribute sandws numeric
@attribute omws numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute p2o5ws numeric
@attribute depth numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.130713,0,0.9997,0.184766,-0.097101,-0.125578,0.354983,0.161482,0.919393,-0.156255,-0.316241,-0.800221,-3.577476,0.898949,0.472943,0.418117,0.923093,-0.646203,-2.217468,-1.704039,0.153449,0.360403,0.428782,0.287553,0.244254,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.215545,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-1.92221,-1.176753,-0.341681,0,-0.771855,0.838594,0.500105,0.662277,0.166397,0.901553,0,-0.656444,0.642526,'\'(-inf-0.980205]\''
0.133597,0.793828,0.303993,0.777476,-0.097153,-0.132106,0.522086,0.376103,0,10.15403,10.413909,0.166749,0.911593,0.844668,0.767855,0.740053,0.661794,0.986708,1.301102,-0.11278,0.146371,0.689437,0.656774,0.619563,0.567321,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.397985,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-0.984115,-1.176753,-0.341681,0.742329,2.820445,0.707673,0.794744,0.764775,0.184712,0.878057,0,-0.34783,0.420277,'\'(0.980205-1.960411]\''
0.523935,0.210931,0.086316,0.466197,-0.097063,-0.133206,0.52867,0.398438,0,-0.156255,-0.316241,0.166749,1.372891,0.776229,0.437048,0.743412,0.372914,1.498444,1.594129,-0.882285,-0.980023,0.593265,0.63007,0.337725,0.337272,-0.752202,0.614218,0.925,0.05444,0.085687,0.07156,0.459521,0.94587,0.648636,0.33731,0.682504,0.331768,0.896534,0.818446,0.848771,-0.320734,-0.389525,-0.345344,-0.377845,0.917191,0.613706,0.840993,1.140558,-0.341681,0.215016,-0.677862,0.398502,0.83382,0.645098,0.061241,0.188699,0.448982,0.001109,0.465106,'\'(0.980205-1.960411]\''
0.205485,0.219052,0.495148,0.28258,-0.097068,-0.125692,0.445007,0.290193,0.738174,-0.156255,-0.316241,1.128988,0.278952,0.840455,0.467192,0.656804,-0.935629,0.113181,-0.264245,-1.844142,0.084542,0.386714,0.488894,0.228452,0.236772,-0.249198,-0.490037,-0.739097,0,0,0,0.072618,-0.802617,-0.859626,0.428129,-0.678953,0.01027,-0.787245,-0.784849,-0.741577,-0.42969,-0.552344,-0.505273,-0.591376,-0.420071,-0.838104,-0.868787,-1.176753,0.937936,0.218029,-0.595275,0.491199,0.838167,0.461996,0.125478,0.827595,0.010942,2.059969,0.598933,'\'(0.980205-1.960411]\''
0.129222,0.248635,0.77934,0.170512,-0.094168,-0.13147,0.292431,0.118111,0.927898,-0.156255,-0.316241,0.345429,-1.921935,0.824302,0.391816,0.548241,0.306497,-0.572567,-1.580219,-2.510287,-1.170453,0.406609,0.455303,0.184446,0.176178,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.242844,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-0.984115,-1.176753,-0.341681,0.195273,0.024919,0.706876,0.473809,0.79391,0.218678,0.938571,0,-0.382573,0.606981,'\'(-inf-0.980205]\''
0.468558,0.285643,0.681328,0.896534,-0.096421,-0.126849,0.376562,0.178694,0.561953,-0.156255,-0.316241,-0.865018,-0.463161,0.893726,0.672457,0.852221,0.866074,-0.003292,-0.033087,-0.075353,-0.21275,0.823427,0.801266,0.674744,0.629298,-0.258199,0.316213,0.224182,0.236018,0.303206,0.278635,0.364256,0.476847,0.228234,0.406736,0.131383,0.137607,0.231938,0.166128,0.039611,0.553358,0.544253,0.617347,0.717539,0.77804,0.468496,0.151781,0.861384,0.459392,0.277528,-0.366757,0.792872,0.309614,0.780156,0.367077,0.76324,0.112087,-0.140349,0.800212,'\'(-inf-0.980205]\''
0.448306,0.486406,0.851404,0.567539,-0.096912,-0.130717,0.484435,0.193877,0.639797,-0.156255,-0.316241,-0.593043,-0.904524,0.772362,0.383279,0.764871,-0.507729,0.151016,-0.637419,-0.017649,0.112676,0.708344,0.70143,0.413712,0.367135,0.438802,0.393961,0.335348,0.019993,0.060164,0.049413,0.400378,0.614322,0.541525,0.367641,0.18147,0.20518,0.733212,0.759585,0.413002,-0.395202,-0.446705,-0.4018,-0.451825,0.587079,0.674523,0.589871,0.514898,-0.341681,0.300714,1.836213,0.689534,0.411081,0.781176,0.423849,0.883985,0.087,0.301168,0.763712,'\'(-inf-0.980205]\''
0.538578,0.153549,0.664264,0.540542,-0.096764,-0.127788,0.537655,0.452641,0.550039,-0.156255,-0.316241,0.028431,0.065724,0.810508,0.420519,0.633265,0.327227,0.637457,0.162243,-0.166711,-0.043592,0.692117,0.853018,0.384313,0.45462,1.555826,1.255452,1.075885,0.323042,0.222797,0.199242,0.395909,0.623254,0.400692,0.364026,1.358914,0.461159,0.59115,0.523683,0.437744,1.216141,0.087354,0.137228,0.204257,1.079761,-0.463445,1.048399,0.990405,3.329494,0.125475,-0.418196,0.660204,0.790636,0.309642,0.214464,0.534133,0.357372,0.666789,0.58269,'\'(0.980205-1.960411]\''
0.662471,0.526843,0.722132,0.716145,-0.09713,-0.130142,0.479895,0.219743,0.602758,-0.156255,-0.316241,-0.198726,-0.239922,0.831683,0.485251,0.60701,0.027204,0.051735,-0.048559,0.845775,1.008917,0.8546,0.840907,0.696164,0.60902,-0.355092,-0.456713,-0.490668,0.719532,0.568289,0.55002,0.070742,-0.825717,-0.833303,0.390539,-0.619256,0.059946,-0.817299,-0.803132,-0.767528,3.625907,3.053106,3.467787,3.166875,0.083293,1.826541,0.078211,-1.176753,-0.341681,0.547145,-0.452347,0.675461,0.444749,0.894265,0.230391,0.867216,0,-0.588551,0.688672,'\'(-inf-0.980205]\''
0.57311,0,0.432929,0.483402,-0.094304,-0.111558,0.564815,0.564847,0.413751,-0.156255,-0.304597,-0.065956,1.066954,0.79314,0.263152,0.928405,0.396302,0.653798,0.985998,0.579363,1.214051,0.676132,0.820062,0.397652,0.437093,-0.099753,0.344366,0.614916,0.067485,0.124416,0.106293,0.561761,1.424116,1.305391,0.335047,0.188434,0.275415,1.439161,1.41647,1.532313,-0.30701,-0.286581,-0.242914,-0.247166,0.921013,1.459133,1.153872,1.142125,-0.263341,0,-0.771855,0.626301,0.796295,0.539539,0.146871,0.350738,0.192055,0.284547,0.514877,'\'(0.980205-1.960411]\''
